id,name,ra_deg,dec_deg,l_deg,b_deg,dist_kpc,dist_src,X_kpc,Y_kpc,Z_kpc,Rgc_kpc,V_mag,M_V,FeH,EBV,BV,vr_kms,conc_c,Rh_arcmin,logTh,muV,pmRA,pmDE,e_pmRA,e_pmDE,plx,Nstar_gaia,Mass_Msun,ML_V,rh_pc,sigma0,Vesc_kms,logTRH,RV_bh,in_harris,in_vb2021,in_bh2018,has_dist
KIM3,KIM3,200.69,-30.601,,,9.7087,GaiaEDR3plx,,,,,,,,,,,,,,,-0.849,3.396,0.178,0.14,0.103,9,,,,,,,,False,True,False,True
MUNOZ1,MUNOZ1,225.45,66.969,,,4.5249,GaiaEDR3plx,,,,,,,,,,,,,,,-0.1,-0.02,0.203,0.207,0.221,5,,,,,,,,False,True,False,True
FSR1716,FSR1716,242.62,-53.749,,,9.2593,GaiaEDR3plx,,,,,,,,,,,,,,,-4.354,-8.832,0.033,0.031,0.108,62,,,,,,,,False,True,False,True
FSR1758,FSR1758,262.8,-39.808,,,8.1967,GaiaEDR3plx,,,,,,,,,,,,,,,-2.881,2.519,0.026,0.025,0.122,296,,,,,,,,False,True,False,True
VVVCL002,VVVCL002,265.28,-28.845,,,7.1429,GaiaEDR3plx,,,,,,,,,,,,,,,-8.867,2.39,0.142,0.085,0.14,14,,,,,,,,False,True,False,True
VVVCL001,VVVCL001,268.68,-24.015,,,6.3291,GaiaEDR3plx,,,,,,,,,,,,,,,-3.486,-1.675,0.155,0.106,0.158,27,,,,,,,,False,True,False,True
GRAN1,GRAN1,269.65,-32.02,,,13.158,GaiaEDR3plx,,,,,,,,,,,,,,,-8.163,-8.045,0.038,0.036,0.076,19,,,,,,,,False,True,False,True
PFLEIDERER2,PFLEIDERER2,269.66,-5.07,,,10.638,GaiaEDR3plx,,,,,,,,,,,,,,,-2.784,-4.158,0.034,0.031,0.094,108,,,,,,,,False,True,False,True
ESO280-06,ESO280-06,272.27,-46.423,,,24.39,GaiaEDR3plx,,,,,,,,,,,,,,,-0.688,-2.777,0.039,0.033,0.041,45,,,,,,,,False,True,False,True
ESO456-78,ESO456-78,273.53,-28.635,,,5.2356,GaiaEDR3plx,,,,,,,,,,,,,,,3.566,-3.59,0.043,0.037,0.191,21,,,,,,,,False,True,False,True
MERCER5,MERCER5,275.83,-13.669,,,4.4843,GaiaEDR3plx,,,,,,,,,,,,,,,-3.965,-7.22,0.114,0.111,0.223,40,,,,,,,,False,True,False,True
RLGC2,RLGC2,281.37,-5.192,,,11.905,GaiaEDR3plx,,,,,,,,,,,,,,,-2.396,-1.794,0.077,0.069,0.084,34,,,,,,,,False,True,False,True
LAEVENS3,LAEVENS3,316.73,14.984,,,7.9365,GaiaEDR3plx,,,,,,,,,,,,,,,0.172,-0.666,0.101,0.08,0.126,21,,,,,,,,False,True,False,True
TER3,TER3,,,,,8.1,BH2018,,,,,,,,,,-135.7,,,,,,,,,,,54600,7.7,5.27,2.4,9.2,9.35,-135.7,False,False,True,True
TER1,TER1,,,,,6.7,BH2018,,,,,,,,,,57.7,,,,,,,,,,,2.23e+05,3.22,2.27,7.8,30.2,8.99,57.7,False,False,True,True
TER5,TER5,,,,,5.9,BH2018,,,,,,,,,,-82.3,,,,,,,,,,,5.66e+05,1.31,1.14,19,72.1,8.59,-82.3,False,False,True,True
TER6,TER6,,,,,6.7,BH2018,,,,,,,,,,136.6,,,,,,,,,,,1.17e+05,1.15,1.48,8.7,32.8,8.45,136.6,False,False,True,True
TER7,TER7,,,,,26.91,BH2018,,,,,,,,,,159.6,,,,,,,,,,,16600,1,13.07,0.8,3.2,9.84,159.6,False,False,True,True
TER8,TER8,,,,,26.73,BH2018,,,,,,,,,,148.2,,,,,,,,,,,43900,4.02,15.26,1.4,4.5,10.07,148.2,False,False,True,True
WHITING1,WHITING1,30.737,-3.253,,,,,,,,,,,,,,,,,,,-0.228,-2.046,0.065,0.056,0.017,40,,,,,,,,False,True,False,False
LAEVENS1,LAEVENS1,174.07,-10.877,,,,,,,,,,,,,,,,,,,-0.059,-0.116,0.125,0.116,0.003,15,,,,,,,,False,True,False,False
KO1,KO1,179.83,12.26,,,,,,,,,,,,,,,,,,,-1.513,-0.814,0.135,0.105,-0.048,6,,,,,,,,False,True,False,False
RLGC1,RLGC1,244.29,-44.593,,,,,,,,,,,,,,,,,,,1.022,0.77,0.055,0.047,-0.066,77,,,,,,,,False,True,False,False
FSR1735,FSR1735,253.04,-47.058,,,,,,,,,,,,,,,,,,,-4.439,-1.534,0.054,0.048,-0.072,56,,,,,,,,False,True,False,False
SEGUE3,SEGUE3,320.38,19.117,,,,,,,,,,,,,,,,,,,-0.981,-1.667,0.121,0.081,-0.005,21,,,,,,,,False,True,False,False
